package	bookworm	trixie
libpython3.11-minimal:amd64	3.11.2-6+deb12u8	NOT INSTALLED
libpython3.11-stdlib:amd64	3.11.2-6+deb12u8	NOT INSTALLED
libpython3.11:amd64	3.11.2-6+deb12u8	NOT INSTALLED
libpython3.13-dev:amd64	NOT INSTALLED	3.13.5-2+deb13u5
libpython3.13-minimal:amd64	NOT INSTALLED	3.13.5-2+deb13u5
libpython3.13-stdlib:amd64	NOT INSTALLED	3.13.5-2+deb13u5
libpython3.13:amd64	NOT INSTALLED	3.13.5-2+deb13u5
libquadmath0:amd64	12.2.0-14+deb12u1	14.2.0-19
libreadline8:amd64	8.2-1.3	NOT INSTALLED
libreadline8t64:amd64	NOT INSTALLED	8.2-6
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b2	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg-10	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg-10	2.1.28+dfsg1-9
libsasl2-modules-gssapi-mit:amd64	2.1.28+dfsg-10	2.1.28+dfsg1-9
libsasl2-modules:amd64	2.1.28+dfsg-10	2.1.28+dfsg1-9
libseccomp2:amd64	2.5.4-1+deb12u1	2.6.0-2
libselinux1:amd64	3.4-1+b6	3.8.1-1
libsemanage-common	3.4-1	3.8.1-1
libsemanage2:amd64	3.4-1+b5	3.8.1-1
libsepol2:amd64	3.4-2.1	3.8.1-1
libsframe1:amd64	NOT INSTALLED	2.44-3
libsmartcols1:amd64	2.38.1-5+deb12u3	2.41.5-0+deb13u1
libsqlite3-0:amd64	3.40.1-2+deb12u2	3.46.1-7+deb13u2
libss2:amd64	1.47.0-2+b2	NOT INSTALLED
libssh2-1:amd64	1.10.0-3+deb12u1	NOT INSTALLED
libssh2-1t64:amd64	NOT INSTALLED	1.11.1-1+deb13u2
libssl3:amd64	3.0.20-1~deb12u2	NOT INSTALLED
libssl3t64:amd64	NOT INSTALLED	3.5.7-1~deb13u2
libstdc++-12-dev:amd64	12.2.0-14+deb12u1	NOT INSTALLED
libstdc++-14-dev:amd64	NOT INSTALLED	14.2.0-19
libstdc++6:amd64	12.2.0-14+deb12u1	14.2.0-19
libstemmer0d:amd64	2.2.0-2	NOT INSTALLED
libsystemd-shared:amd64	252.39-1~deb12u2	NOT INSTALLED
libsystemd0:amd64	252.39-1~deb12u2	257.13-1~deb13u1
libtasn1-6-dev:amd64	4.19.0-2+deb12u1	4.20.0-2+deb13u1
libtasn1-6:amd64	4.19.0-2+deb12u1	4.20.0-2+deb13u1
libtinfo6:amd64	6.4-4	6.5+20250216-2
libtirpc-common	1.3.3+ds-1	NOT INSTALLED
libtirpc-dev:amd64	1.3.3+ds-1	NOT INSTALLED
libtirpc3:amd64	1.3.3+ds-1	NOT INSTALLED
libtsan2:amd64	12.2.0-14+deb12u1	14.2.0-19
libubsan1:amd64	12.2.0-14+deb12u1	14.2.0-19
libudev1:amd64	252.39-1~deb12u2	257.13-1~deb13u1
libunbound8:amd64	1.17.1-2+deb12u4	1.26.1-0+deb13u1
libunistring2:amd64	1.0-2	NOT INSTALLED
libunistring5:amd64	NOT INSTALLED	1.3-2
libunwind8:amd64	1.6.2-3	NOT INSTALLED
libuuid1:amd64	2.38.1-5+deb12u3	2.41.5-0+deb13u1
libxml2:amd64	2.9.14+dfsg-1.3~deb12u6	NOT INSTALLED
libxmlb2:amd64	0.3.22-1~deb12u1	NOT INSTALLED
libxxhash0:amd64	0.8.1-1	0.8.3-2
libyaml-0-2:amd64	0.2.5-1	NOT INSTALLED
libzstd1:amd64	1.5.4+dfsg2-5	1.5.7+dfsg-1
linux-libc-dev	NOT INSTALLED	6.12.107-1
linux-libc-dev:amd64	6.1.187-1	NOT INSTALLED
login	1:4.13+dfsg1-1+deb12u2	1:4.16.0-2+really2.41.5-0+deb13u1
